cohort	n	predictor	endpoint	spearman_rho	p_value	ci95_lo	ci95_hi
genomic	6	activation_ratio	R_cand_eps0.5	0.7714285714285715	0.07239650145772594	-0.0909090909090909	1.0
genomic	6	activation_ratio	R_cand_eps1.0	0.6	0.20799999999999982	-0.6363636363636362	1.0
genomic	6	activation_ratio	G_eps0.5	0.7714285714285715	0.07239650145772594	-0.0909090909090909	1.0
genomic	6	activation_ratio	G_eps1.0	0.6	0.20799999999999982	-0.6363636363636362	1.0
genomic	6	activation_max	R_cand_eps0.5	0.028571428571428574	0.9571545189504373	-1.0	0.9999999999999999
genomic	6	activation_max	R_cand_eps1.0	0.08571428571428573	0.8717434402332361	-0.9393939393939392	1.0
genomic	6	activation_max	G_eps0.5	0.028571428571428574	0.9571545189504373	-1.0	0.9999999999999999
genomic	6	activation_max	G_eps1.0	0.08571428571428573	0.8717434402332361	-0.9393939393939392	1.0
genomic	6	ratio_median_24	R_cand_eps0.5	0.7714285714285715	0.07239650145772594	-0.0909090909090909	1.0
genomic	6	ratio_median_24	R_cand_eps1.0	0.6	0.20799999999999982	-0.6363636363636362	1.0
genomic	6	ratio_median_24	G_eps0.5	0.7714285714285715	0.07239650145772594	-0.0909090909090909	1.0
genomic	6	ratio_median_24	G_eps1.0	0.6	0.20799999999999982	-0.6363636363636362	1.0
genomic	6	ratio_cv_24	R_cand_eps0.5	-0.3946648814672956	0.43873925151701676	-1.0	0.8263342440128466
genomic	6	ratio_cv_24	R_cand_eps1.0	-0.5768179036829705	0.23073225195460037	-1.0	0.38138503569823695
genomic	6	ratio_cv_24	G_eps0.5	-0.3946648814672956	0.43873925151701676	-1.0	0.8263342440128466
genomic	6	ratio_cv_24	G_eps1.0	-0.5768179036829705	0.23073225195460037	-1.0	0.38138503569823695
genomic	6	rank_median_24	R_cand_eps0.5	nan	nan		
genomic	6	rank_median_24	R_cand_eps1.0	nan	nan		
genomic	6	rank_median_24	G_eps0.5	nan	nan		
genomic	6	rank_median_24	G_eps1.0	nan	nan		
genomic	6	q1	R_cand_eps0.5	0.6	0.20799999999999982	-0.6363636363636362	1.0
genomic	6	q1	R_cand_eps1.0	0.48571428571428577	0.3287230320699709	-0.9999999999999999	1.0
genomic	6	q1	G_eps0.5	0.6	0.20799999999999982	-0.6363636363636362	1.0
genomic	6	q1	G_eps1.0	0.48571428571428577	0.3287230320699709	-0.9999999999999999	1.0
genomic	6	layer_relative_frobenius	R_cand_eps0.5	0.6571428571428573	0.15617492711370237	-0.2064516129032258	1.0
genomic	6	layer_relative_frobenius	R_cand_eps1.0	0.48571428571428577	0.3287230320699709	-0.6000000000000001	1.0
genomic	6	layer_relative_frobenius	G_eps0.5	0.6571428571428573	0.15617492711370237	-0.2064516129032258	1.0
genomic	6	layer_relative_frobenius	G_eps1.0	0.48571428571428577	0.3287230320699709	-0.6000000000000001	1.0
